INPUT                            STACK                                                                                                                                                                                                                                                                                                                                                                     ACTION
(')', ')')                       [40, 'varName', 64, '(', 33, 'functionName', 67, 'operator', 37, 'term', 31, '(', 19, 'whil', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                            REDUCE 47
(')', ')')                       [103, 'term', 64, '(', 33, 'functionName', 67, 'operator', 37, 'term', 31, '(', 19, 'whil', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                              SHIFT 122
('&&', '&&')                     [122, ')', 103, 'term', 64, '(', 33, 'functionName', 67, 'operator', 37, 'term', 31, '(', 19, 'whil', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                    REDUCE 97
('&&', '&&')                     [42, 'functionCall', 67, 'operator', 37, 'term', 31, '(', 19, 'whil', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                    REDUCE 50
('&&', '&&')                     [37, 'term', 67, 'operator', 37, 'term', 31, '(', 19, 'whil', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                            SHIFT 83
('!', '!')                       [83, '&&', 37, 'term', 67, 'operator', 37, 'term', 31, '(', 19, 'whil', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                  REDUCE 17
('!', '!')                       [70, 'logicalOperator', 37, 'term', 67, 'operator', 37, 'term', 31, '(', 19, 'whil', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                     REDUCE 20
('!', '!')                       [67, 'operator', 37, 'term', 67, 'operator', 37, 'term', 31, '(', 19, 'whil', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                            SHIFT 43
('IDENTIFIER', 'IDENTIFIER')     [43, '!', 67, 'operator', 37, 'term', 67, 'operator', 37, 'term', 31, '(', 19, 'whil', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                   SHIFT 51
(')', ')')                       [51, 'IDENTIFIER', 43, '!', 67, 'operator', 37, 'term', 67, 'operator', 37, 'term', 31, '(', 19, 'whil', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                 REDUCE 45
